Date,Open,High,Low,Close,Adj Close,Volume
2024-07-24,224.00,224.80,217.13,218.54,217.07,61777600
2024-07-25,218.93,220.85,214.62,217.49,216.02,51391200
2024-07-26,218.70,219.49,216.01,217.96,216.49,41601300
2024-07-29,216.96,219.30,215.75,218.24,216.77,36311800
2024-07-30,219.19,220.33,216.12,218.80,217.32,41643800
2024-07-31,221.44,223.82,220.63,222.08,220.58,50036300
2024-08-01,224.37,224.48,217.02,218.36,216.89,62501000
2024-08-02,219.15,225.60,217.71,219.86,218.38,105568600
2024-08-05,199.09,213.50,196.00,209.27,207.86,119548600
2024-08-06,205.30,209.99,201.07,207.23,205.83,69660500
2024-08-07,206.90,213.64,206.39,209.82,208.40,63516400
2024-08-08,213.11,214.20,208.83,213.31,211.87,47161100
2024-08-09,212.10,216.78,211.97,216.24,214.78,42201600
2024-08-12,216.07,219.51,215.60,217.53,216.31,38028100
2024-08-13,219.01,221.89,219.01,221.27,220.03,44155300
2024-08-14,220.57,223.03,219.70,221.72,220.48,41960600
2024-08-15,224.60,225.35,222.76,224.72,223.46,46414000
2024-08-16,223.92,226.83,223.65,226.05,224.78,44340200
2024-08-19,225.72,225.99,223.04,225.89,224.63,40687800
2024-08-20,225.77,227.17,225.45,226.51,225.24,30299000
2024-08-21,226.52,227.98,225.05,226.40,225.13,34765500
2024-08-22,227.79,228.34,223.90,224.53,223.27,43695300
2024-08-23,225.66,228.22,224.33,226.84,225.57,38677300
2024-08-26,226.76,227.28,223.89,227.18,225.91,30602200
2024-08-27,226.00,228.85,224.89,228.03,226.75,35934600
2024-08-28,227.92,229.86,225.68,226.49,225.22,38052200
2024-08-29,230.10,232.92,228.88,229.79,228.50,51906300
2024-08-30,230.19,230.40,227.48,229.00,227.72,52990800
2024-09-03,228.55,229.00,221.17,222.77,221.52,50190600
2024-09-04,221.66,221.78,217.48,220.85,219.61,43840200
2024-09-05,221.63,225.48,221.52,222.38,221.14,36615400
2024-09-06,223.95,225.24,219.77,220.82,219.58,48423000
2024-09-09,220.82,221.27,216.71,220.91,219.67,67180000
2024-09-10,218.92,221.48,216.73,220.11,218.88,51591000
2024-09-11,221.46,223.09,217.89,222.66,221.41,44587100
2024-09-12,222.50,223.55,219.82,222.77,221.52,37455600
2024-09-13,223.58,224.04,221.91,222.50,221.25,36766600
2024-09-16,216.54,217.22,213.92,216.32,215.11,59357400
2024-09-17,215.75,216.90,214.50,216.79,215.58,45519300
2024-09-18,217.55,222.71,217.54,220.69,219.45,59894900
2024-09-19,224.99,229.82,224.63,228.87,227.59,66781300
2024-09-20,229.97,233.09,227.62,228.20,226.92,318679900
2024-09-23,227.34,229.45,225.81,226.47,225.20,54146000
2024-09-24,228.65,229.35,225.73,227.37,226.10,43556100
2024-09-25,224.93,227.29,224.02,226.37,225.10,42308700
2024-09-26,227.30,228.50,225.41,227.52,226.25,36636700
2024-09-27,228.46,229.52,227.30,227.79,226.52,34026000
2024-09-30,230.04,233.00,229.65,233.00,231.70,54541900
2024-10-01,229.52,229.65,223.74,226.21,224.94,63285000
2024-10-02,225.89,227.37,223.02,226.78,225.51,32880600
2024-10-03,225.14,226.81,223.32,225.67,224.41,34044200
2024-10-04,227.90,228.00,224.13,226.80,225.53,37245100
2024-10-07,224.50,225.69,221.33,221.69,220.45,39505400
2024-10-08,224.30,225.98,223.25,225.77,224.51,31855700
2024-10-09,225.23,229.75,224.83,229.54,228.26,33591100
2024-10-10,227.78,229.50,227.17,229.04,227.76,28183500
2024-10-11,229.30,229.41,227.34,227.55,226.28,31759200
2024-10-14,228.70,231.73,228.60,231.30,230.01,39882100
2024-10-15,233.61,237.49,232.37,233.85,232.54,64751400
2024-10-16,231.60,232.12,229.84,231.78,230.48,34082200
2024-10-17,233.43,233.85,230.52,232.15,230.85,32993800
2024-10-18,236.18,236.18,234.01,235.00,233.68,46431500
2024-10-21,234.45,236.85,234.45,236.48,235.16,36254500
2024-10-22,233.89,236.22,232.60,235.86,234.54,38846600
2024-10-23,234.08,235.14,227.76,230.76,229.47,52287000
2024-10-24,229.98,230.82,228.41,230.57,229.28,31109500
2024-10-25,229.74,233.22,229.57,231.41,230.11,38802300
2024-10-28,233.32,234.73,232.55,233.40,232.09,36087100
2024-10-29,233.10,234.33,232.32,233.67,232.36,35417200
2024-10-30,232.61,233.47,229.55,230.10,228.81,47070900
2024-10-31,229.34,229.83,225.37,225.91,224.65,64370100
2024-11-01,220.97,225.35,220.27,222.91,221.66,65276700
2024-11-04,220.99,222.79,219.71,222.01,220.77,44944500
2024-11-05,221.80,223.95,221.14,223.45,222.20,28111300
2024-11-06,222.61,226.07,221.19,222.72,221.47,54561100
2024-11-07,224.63,227.88,224.57,227.48,226.21,42137700
2024-11-08,227.17,228.66,226.41,226.96,225.94,38328800
2024-11-11,225.00,225.70,221.50,224.23,223.22,42005600
2024-11-12,224.55,225.59,223.36,224.23,223.22,40398300
2024-11-13,224.01,226.65,222.76,225.12,224.11,48566200
2024-11-14,225.02,228.87,225.00,228.22,227.19,44923900
2024-11-15,226.40,226.92,224.27,225.00,223.99,47923700
2024-11-18,225.25,229.74,225.17,228.02,226.99,44633700
2024-11-19,226.98,230.16,226.66,228.28,227.25,36211800
2024-11-20,228.06,229.93,225.89,229.00,227.97,35169600
2024-11-21,228.88,230.16,225.71,228.52,227.49,42108300
2024-11-22,228.06,230.72,228.06,229.87,228.84,38168300
2024-11-25,231.46,233.25,229.74,232.87,231.82,90152800
2024-11-26,233.33,235.57,233.33,235.06,234.00,45986200
2024-11-27,234.47,235.69,233.81,234.93,233.87,33498400
2024-11-29,234.81,237.81,233.97,237.33,236.26,28481400
2024-12-02,237.27,240.79,237.16,239.59,238.51,48137100
2024-12-03,239.81,242.76,238.90,242.65,241.56,38861000
2024-12-04,242.87,244.11,241.25,243.01,241.92,44383900
2024-12-05,243.99,244.54,242.13,243.04,241.95,40033900
2024-12-06,242.91,244.63,242.08,242.84,241.75,36870600
2024-12-09,241.83,247.24,241.75,246.75,245.64,44649200
2024-12-10,246.89,248.21,245.34,247.77,246.65,36914800
2024-12-11,247.96,250.80,246.26,246.49,245.38,45205800
2024-12-12,246.89,248.74,245.68,247.96,246.84,32777500
2024-12-13,247.82,249.29,246.24,248.13,247.01,33155300
2024-12-16,247.99,251.38,247.65,251.04,249.91,51694800
2024-12-17,250.08,253.83,249.78,253.48,252.34,51356400
2024-12-18,252.16,254.28,247.74,248.05,246.93,56774100
2024-12-19,247.50,252.00,247.09,249.79,248.67,60882300
2024-12-20,248.04,255.00,245.69,254.49,253.34,147495300
2024-12-23,254.77,255.65,253.45,255.27,254.12,40858800
2024-12-24,255.49,258.21,255.29,258.20,257.04,23234700
2024-12-26,258.19,260.10,257.63,259.02,257.85,27237100
2024-12-27,257.83,258.70,253.06,255.59,254.44,42355300
2024-12-30,252.23,253.50,250.75,252.20,251.06,35557500
2024-12-31,252.44,253.28,249.43,250.42,249.29,39480700

